TaskID,WorkflowStepIndex,MappedRequestID,RequiredModelType
task_Server2_test_0_12,0,req_5253916,GPT-4
task_Server2_test_0_12,1,req_1497741,ChatGPT
task_Server2_test_0_12,2,req_3115448,ChatGPT
task_Server2_test_0_12,3,req_4275062,ChatGPT
task_Server2_test_0_12,4,req_3415369,GPT-4v
task_Server2_test_0_13,0,req_1831828,ChatGPT
task_Server2_test_0_13,1,req_5233031,ChatGPT
task_Server2_test_0_13,2,req_1940418,GPT-4
task_Server2_test_0_13,3,req_4095797,ChatGPT
task_Server2_test_0_13,4,req_3740585,ChatGPT
task_Server2_test_0_14,0,req_4967446,ChatGPT
task_Server2_test_0_14,1,req_4621872,ChatGPT
task_Server2_test_0_14,2,req_5085979,GPT-4
task_Server2_test_0_14,3,req_3873515,GPT-4v
task_Server2_test_0_14,4,req_4744147,ChatGPT
task_Server2_test_0_15,0,req_4604495,ChatGPT
task_Server2_test_0_15,1,req_5183118,ChatGPT
task_Server2_test_0_15,2,req_2847024,GPT-4
task_Server2_test_0_15,3,req_2786289,ChatGPT
task_Server2_test_0_15,4,req_5130706,GPT-4v
task_Server2_test_0_16,0,req_2359810,ChatGPT
task_Server2_test_0_16,1,req_1856200,GPT-4
task_Server2_test_0_16,2,req_2393780,ChatGPT
task_Server2_test_0_16,3,req_2228840,ChatGPT
task_Server2_test_0_16,4,req_3053851,GPT-4v
task_Server2_test_0_17,0,req_2408810,ChatGPT
task_Server2_test_0_17,1,req_5062107,ChatGPT
task_Server2_test_0_17,2,req_3098342,ChatGPT
task_Server2_test_0_17,3,req_2706995,GPT-4
task_Server2_test_0_17,4,req_4549571,ChatGPT
task_Server2_test_0_18,0,req_4743734,ChatGPT
task_Server2_test_0_18,1,req_2934649,ChatGPT
task_Server2_test_0_18,2,req_2699849,ChatGPT
task_Server2_test_0_18,3,req_4165723,ChatGPT
task_Server2_test_0_18,4,req_5277759,GPT-4
task_Server2_test_0_19,0,req_4026918,ChatGPT
task_Server2_test_0_19,1,req_1600465,ChatGPT
task_Server2_test_0_19,2,req_5268396,GPT-4
task_Server2_test_0_19,3,req_3320851,ChatGPT
task_Server2_test_0_19,4,req_2499706,GPT-4v
task_Server2_test_0_20,0,req_2182349,GPT-4
task_Server2_test_0_20,1,req_2850663,GPT-4v
task_Server2_test_0_20,2,req_4013180,ChatGPT
task_Server2_test_0_20,3,req_5085125,GPT-4v
task_Server2_test_0_20,4,req_2436149,GPT-4v
task_Server2_test_0_21,0,req_5198520,GPT-4
task_Server2_test_0_21,1,req_1795576,GPT-4v
task_Server2_test_0_21,2,req_1827790,ChatGPT
task_Server2_test_0_21,3,req_2844237,GPT-4v
task_Server2_test_0_21,4,req_2856313,ChatGPT
task_Server2_test_0_22,0,req_1941712,GPT-4
task_Server2_test_0_22,1,req_3773684,ChatGPT
task_Server2_test_0_22,2,req_4564685,ChatGPT
task_Server2_test_0_22,3,req_3510099,GPT-4v
task_Server2_test_0_22,4,req_2417188,GPT-4v
task_Server2_test_0_23,0,req_2662078,ChatGPT
task_Server2_test_0_23,1,req_4511896,ChatGPT
task_Server2_test_0_23,2,req_3609815,ChatGPT
task_Server2_test_0_23,3,req_3641266,GPT-4
task_Server2_test_0_23,4,req_4471307,GPT-4v
task_Server2_test_0_24,0,req_3358005,ChatGPT
task_Server2_test_0_24,1,req_4053676,ChatGPT
task_Server2_test_0_24,2,req_2773204,ChatGPT
task_Server2_test_0_24,3,req_1989669,ChatGPT
task_Server2_test_0_24,4,req_3504979,GPT-4
task_Server2_test_0_25,0,req_3501867,ChatGPT
task_Server2_test_0_25,1,req_2452873,ChatGPT
task_Server2_test_0_25,2,req_2420635,ChatGPT
task_Server2_test_0_25,3,req_2175060,GPT-4
task_Server2_test_0_25,4,req_1781863,ChatGPT
task_Server2_test_0_26,0,req_2150176,ChatGPT
task_Server2_test_0_26,1,req_3845496,GPT-4
task_Server2_test_0_26,2,req_5112399,ChatGPT
task_Server2_test_0_26,3,req_2147747,ChatGPT
task_Server2_test_0_26,4,req_1890780,GPT-4v
task_Server2_test_0_27,0,req_3360086,GPT-4
task_Server2_test_0_27,1,req_3519575,ChatGPT
task_Server2_test_0_27,2,req_2605176,GPT-4v
task_Server2_test_0_27,3,req_3012746,GPT-4v
task_Server2_test_0_27,4,req_3044973,GPT-4v
task_Server2_test_0_28,0,req_3420997,ChatGPT
task_Server2_test_0_28,1,req_4207613,ChatGPT
task_Server2_test_0_28,2,req_5066226,GPT-4
task_Server2_test_0_28,3,req_3563837,GPT-4v
task_Server2_test_0_28,4,req_1458185,ChatGPT
task_Server2_test_0_29,0,req_5065940,GPT-4
task_Server2_test_0_29,1,req_3263388,GPT-4v
task_Server2_test_0_29,2,req_4265906,GPT-4v
task_Server2_test_0_29,3,req_2484271,ChatGPT
task_Server2_test_0_29,4,req_3281788,GPT-4v
task_Server2_test_0_30,0,req_4199852,ChatGPT
task_Server2_test_0_30,1,req_3013806,ChatGPT
task_Server2_test_0_30,2,req_4653051,ChatGPT
task_Server2_test_0_30,3,req_5077818,GPT-4
task_Server2_test_0_30,4,req_3592722,GPT-4v
task_Server2_test_0_31,0,req_2416300,ChatGPT
task_Server2_test_0_31,1,req_4497467,ChatGPT
task_Server2_test_0_31,2,req_2666526,ChatGPT
task_Server2_test_0_31,3,req_2877682,ChatGPT
task_Server2_test_0_31,4,req_2709323,GPT-4
task_Server2_test_0_32,0,req_4906961,ChatGPT
task_Server2_test_0_32,1,req_1736049,ChatGPT
task_Server2_test_0_32,2,req_2734163,ChatGPT
task_Server2_test_0_32,3,req_3519319,ChatGPT
task_Server2_test_0_32,4,req_4300382,GPT-4
task_Server2_test_0_33,0,req_2895290,ChatGPT
task_Server2_test_0_33,1,req_3984570,ChatGPT
task_Server2_test_0_33,2,req_2256227,ChatGPT
task_Server2_test_0_33,3,req_2355357,ChatGPT
task_Server2_test_0_33,4,req_1944436,GPT-4
task_Server2_test_0_34,0,req_1622433,ChatGPT
task_Server2_test_0_34,1,req_3533925,GPT-4
task_Server2_test_0_34,2,req_3754807,GPT-4v
task_Server2_test_0_34,3,req_2639295,ChatGPT
task_Server2_test_0_34,4,req_3038791,GPT-4v
task_Server2_test_0_35,0,req_3582891,ChatGPT
task_Server2_test_0_35,1,req_4888209,ChatGPT
task_Server2_test_0_35,2,req_5174109,GPT-4
task_Server2_test_0_35,3,req_3590144,ChatGPT
task_Server2_test_0_35,4,req_3155001,GPT-4v
task_Server2_test_0_36,0,req_1582200,ChatGPT
task_Server2_test_0_36,1,req_1968861,GPT-4
task_Server2_test_0_36,2,req_3789367,GPT-4v
task_Server2_test_0_36,3,req_4623506,GPT-4v
task_Server2_test_0_36,4,req_3828443,GPT-4v
task_Server2_test_0_37,0,req_4101573,ChatGPT
task_Server2_test_0_37,1,req_2170581,GPT-4
task_Server2_test_0_37,2,req_1744659,ChatGPT
task_Server2_test_0_37,3,req_2624388,GPT-4v
task_Server2_test_0_37,4,req_4766759,GPT-4v
task_Server2_test_0_38,0,req_4695208,ChatGPT
task_Server2_test_0_38,1,req_2916909,ChatGPT
task_Server2_test_0_38,2,req_5079617,GPT-4
task_Server2_test_0_38,3,req_4233763,ChatGPT
task_Server2_test_0_38,4,req_3152367,ChatGPT
task_Server2_test_0_39,0,req_4967222,ChatGPT
task_Server2_test_0_39,1,req_4894797,ChatGPT
task_Server2_test_0_39,2,req_5241801,GPT-4
task_Server2_test_0_39,3,req_4287925,ChatGPT
task_Server2_test_0_39,4,req_3795497,ChatGPT
task_Server2_test_0_40,0,req_4941949,GPT-4
task_Server2_test_0_40,1,req_1991034,GPT-4v
task_Server2_test_0_40,2,req_5176751,ChatGPT
task_Server2_test_0_40,3,req_1463350,GPT-4v
task_Server2_test_0_40,4,req_5208980,ChatGPT
task_Server2_test_0_41,0,req_2805139,ChatGPT
task_Server2_test_0_41,1,req_4320660,GPT-4
task_Server2_test_0_41,2,req_2206726,ChatGPT
task_Server2_test_0_41,3,req_2739746,GPT-4v
task_Server2_test_0_41,4,req_4358099,GPT-4v
task_Server2_test_0_42,0,req_3066146,ChatGPT
task_Server2_test_0_42,1,req_4394476,ChatGPT
task_Server2_test_0_42,2,req_2366295,ChatGPT
task_Server2_test_0_42,3,req_2122227,GPT-4
task_Server2_test_0_42,4,req_2278439,ChatGPT
task_Server2_test_0_43,0,req_4877511,ChatGPT
task_Server2_test_0_43,1,req_2991064,ChatGPT
task_Server2_test_0_43,2,req_3707885,ChatGPT
task_Server2_test_0_43,3,req_5019957,ChatGPT
task_Server2_test_0_43,4,req_1965287,GPT-4
task_Server2_test_0_44,0,req_5018338,ChatGPT
task_Server2_test_0_44,1,req_4806010,ChatGPT
task_Server2_test_0_44,2,req_2857175,ChatGPT
task_Server2_test_0_44,3,req_2998021,ChatGPT
task_Server2_test_0_44,4,req_3964961,GPT-4
task_Server2_test_0_45,0,req_3365079,ChatGPT
task_Server2_test_0_45,1,req_4402203,ChatGPT
task_Server2_test_0_45,2,req_4972765,GPT-4
task_Server2_test_0_45,3,req_1721600,GPT-4v
task_Server2_test_0_45,4,req_5195822,GPT-4v
task_Server2_test_0_46,0,req_1754553,ChatGPT
task_Server2_test_0_46,1,req_4518882,ChatGPT
task_Server2_test_0_46,2,req_2683021,GPT-4
task_Server2_test_0_46,3,req_2807923,GPT-4v
task_Server2_test_0_46,4,req_2459651,ChatGPT
task_Server2_test_0_47,0,req_2700476,GPT-4
task_Server2_test_0_47,1,req_2588627,ChatGPT
task_Server2_test_0_47,2,req_5166992,ChatGPT
task_Server2_test_0_47,3,req_5050414,ChatGPT
task_Server2_test_0_47,4,req_2667588,ChatGPT
task_Server2_test_0_48,0,req_2984047,ChatGPT
task_Server2_test_0_48,1,req_4475354,ChatGPT
task_Server2_test_0_48,2,req_3421997,ChatGPT
task_Server2_test_0_48,3,req_1540856,ChatGPT
task_Server2_test_0_48,4,req_2680419,GPT-4
task_Server2_test_0_49,0,req_3647837,ChatGPT
task_Server2_test_0_49,1,req_1543709,ChatGPT
task_Server2_test_0_49,2,req_4808311,ChatGPT
task_Server2_test_0_49,3,req_1769435,ChatGPT
task_Server2_test_0_49,4,req_5257926,GPT-4
task_Server2_test_0_50,0,req_2617117,ChatGPT
task_Server2_test_0_50,1,req_4914916,ChatGPT
task_Server2_test_0_50,2,req_4040179,ChatGPT
task_Server2_test_0_50,3,req_4604872,ChatGPT
task_Server2_test_0_50,4,req_2109040,GPT-4
task_Server2_test_0_51,0,req_2859128,ChatGPT
task_Server2_test_0_51,1,req_5214421,ChatGPT
task_Server2_test_0_51,2,req_3246854,ChatGPT
task_Server2_test_0_51,3,req_4298561,GPT-4
task_Server2_test_0_51,4,req_2883901,GPT-4v
task_Server2_test_0_52,0,req_4453635,ChatGPT
task_Server2_test_0_52,1,req_3521522,GPT-4
task_Server2_test_0_52,2,req_1772067,GPT-4v
task_Server2_test_0_52,3,req_1475073,ChatGPT
task_Server2_test_0_52,4,req_4998862,GPT-4v
task_Server2_test_0_53,0,req_5254060,ChatGPT
task_Server2_test_0_53,1,req_1797524,ChatGPT
task_Server2_test_0_53,2,req_5097157,ChatGPT
task_Server2_test_0_53,3,req_4081868,ChatGPT
task_Server2_test_0_53,4,req_5073537,GPT-4
task_Server2_test_0_54,0,req_4634669,ChatGPT
task_Server2_test_0_54,1,req_2794520,GPT-4
task_Server2_test_0_54,2,req_2412776,ChatGPT
task_Server2_test_0_54,3,req_1917497,GPT-4v
task_Server2_test_0_54,4,req_3692498,ChatGPT
task_Server2_test_0_55,0,req_3849912,ChatGPT
task_Server2_test_0_55,1,req_2351188,ChatGPT
task_Server2_test_0_55,2,req_4288808,ChatGPT
task_Server2_test_0_55,3,req_3974548,GPT-4
task_Server2_test_0_55,4,req_3895444,ChatGPT
task_Server2_test_0_56,0,req_2725249,ChatGPT
task_Server2_test_0_56,1,req_4201893,ChatGPT
task_Server2_test_0_56,2,req_3184902,ChatGPT
task_Server2_test_0_56,3,req_3699907,ChatGPT
task_Server2_test_0_56,4,req_5066095,GPT-4
task_Server2_test_0_57,0,req_4735015,ChatGPT
task_Server2_test_0_57,1,req_4434797,ChatGPT
task_Server2_test_0_57,2,req_4481436,ChatGPT
task_Server2_test_0_57,3,req_1897033,GPT-4
task_Server2_test_0_57,4,req_3086276,GPT-4v
task_Server2_test_0_58,0,req_1679991,ChatGPT
task_Server2_test_0_58,1,req_4275790,GPT-4
task_Server2_test_0_58,2,req_4539432,ChatGPT
task_Server2_test_0_58,3,req_4663772,GPT-4v
task_Server2_test_0_58,4,req_3648180,ChatGPT
task_Server2_test_0_59,0,req_4025704,ChatGPT
task_Server2_test_0_59,1,req_3469562,ChatGPT
task_Server2_test_0_59,2,req_2321080,ChatGPT
task_Server2_test_0_59,3,req_2942380,ChatGPT
task_Server2_test_0_59,4,req_1968912,GPT-4
task_Server2_test_0_60,0,req_4551244,ChatGPT
task_Server2_test_0_60,1,req_1526788,ChatGPT
task_Server2_test_0_60,2,req_1922301,GPT-4
task_Server2_test_0_60,3,req_2839664,ChatGPT
task_Server2_test_0_60,4,req_2406566,ChatGPT
task_Server2_test_0_61,0,req_5066399,GPT-4
task_Server2_test_0_61,1,req_3819069,ChatGPT
task_Server2_test_0_61,2,req_2518090,ChatGPT
task_Server2_test_0_61,3,req_4099751,GPT-4v
task_Server2_test_0_61,4,req_3834433,ChatGPT
task_Server2_test_0_62,0,req_2833163,ChatGPT
task_Server2_test_0_62,1,req_4184512,ChatGPT
task_Server2_test_0_62,2,req_4109313,ChatGPT
task_Server2_test_0_62,3,req_2050437,GPT-4
task_Server2_test_0_62,4,req_1602565,GPT-4v
task_Server2_test_0_63,0,req_2037301,GPT-4
task_Server2_test_0_63,1,req_2090419,GPT-4v
task_Server2_test_0_63,2,req_2587688,GPT-4v
task_Server2_test_0_63,3,req_4913684,GPT-4v
task_Server2_test_0_63,4,req_3369829,GPT-4v
task_Server2_test_0_64,0,req_1942237,ChatGPT
task_Server2_test_0_64,1,req_5023394,ChatGPT
task_Server2_test_0_64,2,req_3839770,ChatGPT
task_Server2_test_0_64,3,req_3359551,ChatGPT
task_Server2_test_0_64,4,req_2736679,GPT-4
task_Server2_test_0_65,0,req_4811095,ChatGPT
task_Server2_test_0_65,1,req_4658645,ChatGPT
task_Server2_test_0_65,2,req_2856758,GPT-4
task_Server2_test_0_65,3,req_1869251,GPT-4v
task_Server2_test_0_65,4,req_2515682,ChatGPT
task_Server2_test_0_66,0,req_3648848,ChatGPT
task_Server2_test_0_66,1,req_1835541,ChatGPT
task_Server2_test_0_66,2,req_2128946,ChatGPT
task_Server2_test_0_66,3,req_4058808,ChatGPT
task_Server2_test_0_66,4,req_4920734,GPT-4
task_Server2_test_0_67,0,req_2048739,ChatGPT
task_Server2_test_0_67,1,req_4085401,ChatGPT
task_Server2_test_0_67,2,req_3497897,GPT-4
task_Server2_test_0_67,3,req_1561853,ChatGPT
task_Server2_test_0_67,4,req_3382513,GPT-4v
task_Server2_test_0_68,0,req_2789023,ChatGPT
task_Server2_test_0_68,1,req_2825289,ChatGPT
task_Server2_test_0_68,2,req_5264443,GPT-4
task_Server2_test_0_68,3,req_4803823,ChatGPT
task_Server2_test_0_68,4,req_2321432,ChatGPT
task_Server2_test_0_69,0,req_2830032,ChatGPT
task_Server2_test_0_69,1,req_3225551,ChatGPT
task_Server2_test_0_69,2,req_3695999,ChatGPT
task_Server2_test_0_69,3,req_4735257,ChatGPT
task_Server2_test_0_69,4,req_5074751,GPT-4
task_Server2_test_0_70,0,req_4855072,ChatGPT
task_Server2_test_0_70,1,req_1751292,ChatGPT
task_Server2_test_0_70,2,req_4097307,ChatGPT
task_Server2_test_0_70,3,req_4971046,GPT-4
task_Server2_test_0_70,4,req_4532742,ChatGPT
task_Server2_test_0_71,0,req_1942652,GPT-4
task_Server2_test_0_71,1,req_2181062,ChatGPT
task_Server2_test_0_71,2,req_2682837,ChatGPT
task_Server2_test_0_71,3,req_3442483,GPT-4v
task_Server2_test_0_71,4,req_3847039,GPT-4v
task_Server2_test_0_72,0,req_3127650,ChatGPT
task_Server2_test_0_72,1,req_3475908,GPT-4
task_Server2_test_0_72,2,req_1454093,GPT-4v
task_Server2_test_0_72,3,req_2431118,ChatGPT
task_Server2_test_0_72,4,req_5211525,GPT-4v
task_Server2_test_0_73,0,req_4383529,ChatGPT
task_Server2_test_0_73,1,req_4978631,ChatGPT
task_Server2_test_0_73,2,req_3670426,GPT-4
task_Server2_test_0_73,3,req_2029145,ChatGPT
task_Server2_test_0_73,4,req_4779165,GPT-4v
task_Server2_test_0_74,0,req_3521645,GPT-4
task_Server2_test_0_74,1,req_2543701,ChatGPT
task_Server2_test_0_74,2,req_3442377,ChatGPT
task_Server2_test_0_74,3,req_3737058,GPT-4v
task_Server2_test_0_74,4,req_4248746,GPT-4v
task_Server2_test_0_75,0,req_2736584,GPT-4
task_Server2_test_0_75,1,req_2286112,GPT-4v
task_Server2_test_0_75,2,req_3922547,GPT-4v
task_Server2_test_0_75,3,req_3555501,GPT-4v
task_Server2_test_0_75,4,req_3566838,GPT-4v
task_Server2_test_0_76,0,req_2198192,ChatGPT
task_Server2_test_0_76,1,req_2046883,ChatGPT
task_Server2_test_0_76,2,req_4555518,ChatGPT
task_Server2_test_0_76,3,req_2907266,GPT-4
task_Server2_test_0_76,4,req_1525470,ChatGPT
task_Server2_test_0_77,0,req_5271590,ChatGPT
task_Server2_test_0_77,1,req_2633871,ChatGPT
task_Server2_test_0_77,2,req_5070784,GPT-4
task_Server2_test_0_77,3,req_2275922,ChatGPT
task_Server2_test_0_77,4,req_5228963,GPT-4v
task_Server2_test_0_78,0,req_2862952,ChatGPT
task_Server2_test_0_78,1,req_3019747,ChatGPT
task_Server2_test_0_78,2,req_2489738,ChatGPT
task_Server2_test_0_78,3,req_4444627,GPT-4
task_Server2_test_0_78,4,req_2422530,GPT-4v
task_Server2_test_0_79,0,req_5278394,GPT-4
task_Server2_test_0_79,1,req_3729566,GPT-4v
task_Server2_test_0_79,2,req_2944830,ChatGPT
task_Server2_test_0_79,3,req_2906174,ChatGPT
task_Server2_test_0_79,4,req_4998300,GPT-4v
task_Server2_test_0_80,0,req_3516084,ChatGPT
task_Server2_test_0_80,1,req_2297348,ChatGPT
task_Server2_test_0_80,2,req_5216568,ChatGPT
task_Server2_test_0_80,3,req_4965132,GPT-4
task_Server2_test_0_80,4,req_3614201,ChatGPT
task_Server2_test_0_81,0,req_3637394,ChatGPT
task_Server2_test_0_81,1,req_2728495,ChatGPT
task_Server2_test_0_81,2,req_3984043,ChatGPT
task_Server2_test_0_81,3,req_3667353,GPT-4
task_Server2_test_0_81,4,req_2276247,GPT-4v
task_Server2_test_0_82,0,req_1554921,ChatGPT
task_Server2_test_0_82,1,req_2996658,ChatGPT
task_Server2_test_0_82,2,req_4502180,ChatGPT
task_Server2_test_0_82,3,req_3829639,ChatGPT
task_Server2_test_0_82,4,req_3623092,GPT-4
task_Server2_test_0_83,0,req_2733553,ChatGPT
task_Server2_test_0_83,1,req_2636864,ChatGPT
task_Server2_test_0_83,2,req_4339680,ChatGPT
task_Server2_test_0_83,3,req_5078767,ChatGPT
task_Server2_test_0_83,4,req_1924901,GPT-4
task_Server2_test_0_84,0,req_5189463,ChatGPT
task_Server2_test_0_84,1,req_3786453,ChatGPT
task_Server2_test_0_84,2,req_3415362,GPT-4
task_Server2_test_0_84,3,req_5123321,ChatGPT
task_Server2_test_0_84,4,req_3619252,GPT-4v
task_Server2_test_0_85,0,req_1787423,ChatGPT
task_Server2_test_0_85,1,req_2034555,GPT-4
task_Server2_test_0_85,2,req_5051062,GPT-4v
task_Server2_test_0_85,3,req_4049453,GPT-4v
task_Server2_test_0_85,4,req_2094356,ChatGPT
task_Server2_test_0_86,0,req_5254734,ChatGPT
task_Server2_test_0_86,1,req_3054746,ChatGPT
task_Server2_test_0_86,2,req_2171615,ChatGPT
task_Server2_test_0_86,3,req_4746673,ChatGPT
task_Server2_test_0_86,4,req_3237177,GPT-4
task_Server2_test_0_87,0,req_3476051,GPT-4
task_Server2_test_0_87,1,req_2412781,GPT-4v
task_Server2_test_0_87,2,req_2328911,ChatGPT
task_Server2_test_0_87,3,req_1726346,GPT-4v
task_Server2_test_0_87,4,req_5104981,GPT-4v
task_Server2_test_0_88,0,req_1447109,ChatGPT
task_Server2_test_0_88,1,req_3518673,GPT-4
task_Server2_test_0_88,2,req_3413281,ChatGPT
task_Server2_test_0_88,3,req_3289116,ChatGPT
task_Server2_test_0_88,4,req_4533790,GPT-4v
task_Server2_test_0_89,0,req_2888115,ChatGPT
task_Server2_test_0_89,1,req_1456216,ChatGPT
task_Server2_test_0_89,2,req_5278583,GPT-4
task_Server2_test_0_89,3,req_1567210,ChatGPT
task_Server2_test_0_89,4,req_4185680,GPT-4v
task_Server2_test_0_90,0,req_4451578,ChatGPT
task_Server2_test_0_90,1,req_4071597,ChatGPT
task_Server2_test_0_90,2,req_3026633,ChatGPT
task_Server2_test_0_90,3,req_3662901,GPT-4
task_Server2_test_0_90,4,req_2548553,ChatGPT
task_Server2_test_0_91,0,req_3964441,ChatGPT
task_Server2_test_0_91,1,req_4055087,ChatGPT
task_Server2_test_0_91,2,req_4911657,ChatGPT
task_Server2_test_0_91,3,req_3313969,ChatGPT
task_Server2_test_0_91,4,req_5253782,GPT-4
task_Server2_test_0_92,0,req_4838699,GPT-4
task_Server2_test_0_92,1,req_3656032,GPT-4v
task_Server2_test_0_92,2,req_3304166,GPT-4v
task_Server2_test_0_92,3,req_3162699,ChatGPT
task_Server2_test_0_92,4,req_3956786,ChatGPT
task_Server2_test_0_93,0,req_1665319,ChatGPT
task_Server2_test_0_93,1,req_2782598,GPT-4
task_Server2_test_0_93,2,req_5239807,GPT-4v
task_Server2_test_0_93,3,req_1497187,GPT-4v
task_Server2_test_0_93,4,req_5250474,GPT-4v
task_Server2_test_0_94,0,req_3660126,ChatGPT
task_Server2_test_0_94,1,req_4677811,ChatGPT
task_Server2_test_0_94,2,req_3337908,GPT-4
task_Server2_test_0_94,3,req_2806983,GPT-4v
task_Server2_test_0_94,4,req_3212895,ChatGPT
task_Server2_test_0_95,0,req_3927337,ChatGPT
task_Server2_test_0_95,1,req_4417679,GPT-4
task_Server2_test_0_95,2,req_3150892,ChatGPT
task_Server2_test_0_95,3,req_3864259,ChatGPT
task_Server2_test_0_95,4,req_5148034,ChatGPT
task_Server2_test_0_96,0,req_3628332,ChatGPT
task_Server2_test_0_96,1,req_5086595,GPT-4
task_Server2_test_0_96,2,req_4005441,GPT-4v
task_Server2_test_0_96,3,req_3838792,ChatGPT
task_Server2_test_0_96,4,req_4140806,ChatGPT
task_Server2_test_0_97,0,req_2113892,ChatGPT
task_Server2_test_0_97,1,req_5137303,ChatGPT
task_Server2_test_0_97,2,req_1722923,ChatGPT
task_Server2_test_0_97,3,req_1929593,GPT-4
task_Server2_test_0_97,4,req_2078767,ChatGPT
task_Server2_test_0_98,0,req_4504598,ChatGPT
task_Server2_test_0_98,1,req_4694916,ChatGPT
task_Server2_test_0_98,2,req_1959662,GPT-4
task_Server2_test_0_98,3,req_2184524,ChatGPT
task_Server2_test_0_98,4,req_5267631,GPT-4v
task_Server2_test_0_99,0,req_4085699,ChatGPT
task_Server2_test_0_99,1,req_4635686,ChatGPT
task_Server2_test_0_99,2,req_1898803,ChatGPT
task_Server2_test_0_99,3,req_2820834,GPT-4
task_Server2_test_0_99,4,req_2139470,ChatGPT
task_Server2_test_0_100,0,req_4819516,ChatGPT
task_Server2_test_0_100,1,req_5011079,ChatGPT
task_Server2_test_0_100,2,req_2972598,ChatGPT
task_Server2_test_0_100,3,req_3161146,ChatGPT
task_Server2_test_0_100,4,req_3329922,GPT-4
task_Server2_test_0_101,0,req_2655988,ChatGPT
task_Server2_test_0_101,1,req_2170254,GPT-4
task_Server2_test_0_101,2,req_3608941,ChatGPT
task_Server2_test_0_101,3,req_4546414,GPT-4v
task_Server2_test_0_101,4,req_3990176,ChatGPT
task_Server2_test_0_102,0,req_4489016,ChatGPT
task_Server2_test_0_102,1,req_3209475,ChatGPT
task_Server2_test_0_102,2,req_5075535,GPT-4
task_Server2_test_0_102,3,req_3996494,GPT-4v
task_Server2_test_0_102,4,req_2194377,ChatGPT
task_Server2_test_0_103,0,req_2073022,GPT-4
task_Server2_test_0_103,1,req_4691365,ChatGPT
task_Server2_test_0_103,2,req_4194878,GPT-4v
task_Server2_test_0_103,3,req_3335074,GPT-4v
task_Server2_test_0_103,4,req_4608564,ChatGPT
