TaskID,Split,TaskLongitude,TaskLatitude,TaskSize,RequiredModelTypes
task_Server1_test_0_47,test,7.222523831,46.8939693,483,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_48,test,8.392167633,46.54662206,435,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_49,test,6.718321257,47.02012569,499,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_50,test,5.936816461,46.13365761,141,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_51,test,7.792764477,46.93786905,35,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_52,test,7.776631771,46.93834504,11,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_53,test,9.111610114,47.61856697,152,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_54,test,5.946233731,46.14301638,279,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_55,test,5.938687898,46.13884954,169,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_56,test,9.715217269,46.95189837,65,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_57,test,8.783056728,47.01899359,392,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_58,test,9.057648769,45.81487256,492,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_59,test,9.799282462,46.45105834,4,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_60,test,9.30297551,47.18943723,32,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_61,test,9.706486849,46.95608994,495,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_62,test,7.236241651,46.89512996,219,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_63,test,9.044250983,45.82170526,404,"[""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_64,test,9.309220303,47.19492704,177,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_65,test,7.632724332,46.42923122,61,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_66,test,7.018799882,47.44296541,394,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_67,test,6.29350993,46.69363666,26,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_68,test,8.983562101,46.29376546,131,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_69,test,8.565713024,47.44557696,98,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_70,test,8.101676023,46.19347538,117,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_71,test,9.052109102,45.81528854,476,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_72,test,9.040882462,45.82665038,493,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_73,test,8.558792646,47.44966422,154,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_74,test,8.107571988,46.18377255,196,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_75,test,9.166064147,46.72103698,399,"[""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_76,test,8.78488745,47.01686491,156,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_77,test,9.050222101,45.81612477,299,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_78,test,7.018343646,47.44101688,226,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_79,test,7.711245894,45.92754982,275,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_80,test,7.776626095,46.93866778,424,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_81,test,7.180246282,46.00717184,489,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_82,test,9.712353602,46.9525364,377,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_83,test,9.796774414,46.46042582,224,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_84,test,8.282927152,47.02700423,135,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_85,test,6.875146474,46.45601944,455,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_86,test,9.681259636,47.45790111,478,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_87,test,6.29018814,46.69057239,240,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_88,test,8.785648991,47.01771737,266,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_89,test,8.560923975,47.44543406,76,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_90,test,7.180086839,46.00347758,26,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_91,test,6.705960036,47.00776824,285,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_92,test,9.688615702,47.44524284,354,"[""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_93,test,7.717017691,45.93018536,493,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_94,test,7.175733872,46.00921876,138,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_95,test,6.306711162,46.68822881,479,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_96,test,7.018214025,47.43147589,14,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_97,test,8.393740261,46.54054789,78,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_98,test,7.223958379,46.89161457,412,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_99,test,8.106956593,46.1937052,346,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_100,test,8.565002897,47.44523502,307,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_101,test,8.552564822,47.43770526,196,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_102,test,7.010394074,47.43427676,156,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_103,test,9.124491445,47.62388538,340,"[""GPT-4"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_104,test,8.795760489,47.00968144,332,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_105,test,7.627694637,46.4241946,462,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_106,test,9.291167883,47.18917057,16,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_107,test,7.779150476,46.9349017,111,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_108,test,8.379586204,46.55230686,139,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_109,test,7.716559048,45.92664292,19,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_110,test,9.05629505,45.82261578,265,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_111,test,9.803203635,46.45027769,293,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_112,test,9.172077366,46.71638384,299,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_113,test,9.117966191,47.61840675,140,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_114,test,6.300425597,46.69802023,304,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_115,test,8.988272922,46.29503903,120,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_116,test,8.099797942,46.18396727,341,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_117,test,5.948190218,46.141337,498,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_118,test,8.793646282,47.00977332,76,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_119,test,8.793137845,47.01045526,232,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_120,test,6.717272381,47.01696327,461,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_121,test,7.724199597,45.9355809,75,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_122,test,6.885542362,46.45992199,499,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_123,test,9.709089155,46.95947528,200,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_124,test,8.105196866,46.19410997,160,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_125,test,6.292036267,46.68424806,300,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_126,test,8.091094402,46.18207892,361,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_127,test,7.225770162,46.88617995,284,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_128,test,7.006344744,47.44665029,373,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_129,test,9.803354139,46.46215787,286,"[""GPT-4"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_130,test,6.71800111,47.01479321,319,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_131,test,8.382943937,46.54890722,424,"[""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_132,test,9.712168379,46.95701703,285,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_133,test,8.376235385,46.54169151,125,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_134,test,9.302400921,47.18887579,476,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_135,test,9.057877581,45.83277014,202,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_136,test,9.679160179,47.44971566,239,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_137,test,7.71066973,47.69802236,501,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_138,test,9.116049093,47.63197991,322,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_139,test,9.116472884,47.61583343,449,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_140,test,9.676261283,47.46200684,372,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_141,test,10.46000028,46.62336724,177,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_142,test,5.935414749,46.14312219,50,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_143,test,7.705596409,47.68819029,338,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_144,test,9.702225444,46.95467558,301,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_145,test,7.790621536,46.94075043,3,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_146,test,8.104219186,46.19261107,169,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_147,test,7.728329765,45.92707454,340,"[""GPT-4"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_148,test,8.385094263,46.54164657,53,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_149,test,7.021220464,47.44365686,295,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_150,test,6.704713414,47.00981537,246,"[""GPT-4"", ""ChatGPT"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_151,test,7.169617569,46.00496419,497,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT""]"
task_Server1_test_0_152,test,7.238293296,46.8883839,467,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_153,test,6.291801321,46.68618925,178,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_154,test,6.883865218,46.46122149,299,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_155,test,9.001045199,46.28854811,54,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_156,test,9.126064841,47.61740818,142,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_157,test,8.389843575,46.55433938,350,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_158,test,8.376314631,46.55351002,366,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_159,test,8.997553395,46.29371423,308,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_160,test,7.62522006,46.43641267,192,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_161,test,7.775382556,46.94872817,272,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_162,test,7.789942862,46.93802096,436,"[""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_163,test,6.871895385,46.45504608,462,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_164,test,8.556287588,47.44139441,205,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_165,test,10.44125391,46.61630631,102,"[""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_166,test,7.624082622,46.42857907,147,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v""]"
task_Server1_test_0_167,test,9.6719642,47.44416567,331,"[""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v"", ""GPT-4v""]"
task_Server1_test_0_168,test,9.048744676,45.82939676,39,"[""GPT-4"", ""GPT-4v"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v""]"
task_Server1_test_0_169,test,6.304627324,46.69726913,239,"[""GPT-4"", ""GPT-4v"", ""ChatGPT"", ""GPT-4v"", ""ChatGPT""]"
task_Server1_test_0_170,test,6.309843538,46.6971328,60,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_171,test,7.724446979,45.93430804,160,"[""ChatGPT"", ""GPT-4"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT""]"
task_Server1_test_0_172,test,6.307319986,46.69543366,151,"[""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""ChatGPT"", ""GPT-4""]"
task_Server1_test_0_173,test,8.998761064,46.28868397,178,"[""ChatGPT"", ""ChatGPT"", ""GPT-4"", ""GPT-4v"", ""ChatGPT""]"
